t,abs_zeta,abs_prod,ratio,delta,score,smooth_abs_zeta,smooth_score
10.000000,1.561511190146e+00,1.040692544976e+00,6.664649933628e-01,-5.208186451693e-01,-8.514217278242e-01,8.816672212028e-01,-4.802100503986e-01
10.066778,1.561134061629e+00,1.054757875356e+00,6.756356813171e-01,-5.063761862730e-01,-8.375138009136e-01,1.076422193890e+00,-5.891731427899e-01
10.133556,1.558412834923e+00,1.057190276015e+00,6.783762635450e-01,-5.012225589071e-01,-8.317210738285e-01,1.240535181693e+00,-6.837826024416e-01
10.200334,1.554164444828e+00,1.046553108034e+00,6.733863404978e-01,-5.076113367933e-01,-8.363741235412e-01,1.363907174647e+00,-7.587229640766e-01
10.267112,1.549315210452e+00,1.024056797030e+00,6.609738225771e-01,-5.252584134228e-01,-8.518540762732e-01,1.446426351515e+00,-8.134039985485e-01
10.333890,1.544722094552e+00,9.935836655436e-01,6.432119208031e-01,-5.511384290080e-01,-8.761250477959e-01,1.495250425988e+00,-8.503647769065e-01
10.400668,1.541010641465e+00,9.613853293440e-01,6.238667686486e-01,-5.796253121212e-01,-9.042569070630e-01,1.520435337378e+00,-8.730533227156e-01
10.467446,1.538461983929e+00,9.352555458885e-01,6.079159288033e-01,-6.032064380401e-01,-9.285018872174e-01,1.531264310286e+00,-8.842644274897e-01
10.534224,1.536972355307e+00,9.228530261362e-01,6.004356701340e-01,-6.141193291707e-01,-9.399142486286e-01,1.534419960306e+00,-8.857481184536e-01
10.601002,1.536092136801e+00,9.292058038853e-01,6.049154094498e-01,-6.068863329153e-01,-9.319082676408e-01,1.533818756995e+00,-8.787074675958e-01
10.667780,1.535132513296e+00,9.544274716481e-01,6.217231824495e-01,-5.807050416479e-01,-9.038770347912e-01,1.531309756862e+00,-8.645610953787e-01
10.734558,1.533312865053e+00,9.932144878819e-01,6.477572258859e-01,-5.400983771711e-01,-8.616699700993e-01,1.527524386122e+00,-8.454513364901e-01
10.801336,1.529915596329e+00,1.036531754447e+00,6.775091102636e-01,-4.933838418818e-01,-8.145448475199e-01,1.522525795036e+00,-8.242763432061e-01
10.868114,1.524417562612e+00,1.074282145018e+00,7.047164578563e-01,-4.501354175942e-01,-7.715721554579e-01,1.516198573355e+00,-8.042853982463e-01
10.934891,1.516575688342e+00,1.097633076733e+00,7.237575316356e-01,-4.189426116090e-01,-7.397538005310e-01,1.508440439427e+00,-7.884123778807e-01
11.001669,1.506455066941e+00,1.100551124383e+00,7.305568871815e-01,-4.059039425577e-01,-7.237074295332e-01,1.499255572568e+00,-7.785698680883e-01
11.068447,1.494398284644e+00,1.080696682985e+00,7.231650986820e-01,-4.137016016593e-01,-7.258413712705e-01,1.488747399279e+00,-7.750657254837e-01
11.135225,1.480943972871e+00,1.039950595376e+00,7.022214306729e-01,-4.409933774951e-01,-7.461862003472e-01,1.477105995161e+00,-7.763369554306e-01
11.202003,1.466710535314e+00,9.847614563620e-01,6.714081835861e-01,-4.819490789522e-01,-7.814001679223e-01,1.464562495550e+00,-7.790922752540e-01
11.268781,1.452267210427e+00,9.262623777486e-01,6.378043731195e-01,-5.260048326788e-01,-8.228495965523e-01,1.451337564802e+00,-7.789161748963e-01
11.335559,1.438017860446e+00,8.794847714455e-01,6.115951655653e-01,-5.585330890007e-01,-8.549503890877e-01,1.437594411621e+00,-7.712624070273e-01
11.402337,1.424121369141e+00,8.600871512038e-01,6.039423112671e-01,-5.640342179371e-01,-8.578316372521e-01,1.423405543415e+00,-7.526227848040e-01
11.469115,1.410465252050e+00,8.777973198805e-01,6.223459377003e-01,-5.326679321691e-01,-8.181787868678e-01,1.408739377944e+00,-7.215512334466e-01
11.535893,1.396697048577e+00,9.305048579698e-01,6.662181028576e-01,-4.661921906072e-01,-7.402483784712e-01,1.393468624459e+00,-6.792232275748e-01
11.602671,1.382304576565e+00,1.005082373651e+00,7.271063054343e-01,-3.772222029138e-01,-6.424346766480e-01,1.377397889953e+00,-6.293393196565e-01
11.669449,1.366725410493e+00,1.083628886327e+00,7.928651051687e-01,-2.830965241658e-01,-5.445198461985e-01,1.360304180996e+00,-5.773859959236e-01
11.736227,1.349461008448e+00,1.149043868314e+00,8.514835635273e-01,-2.004171401336e-01,-4.604803417543e-01,1.341981612277e+00,-5.294468619212e-01
11.803005,1.330172258005e+00,1.187770571655e+00,8.929449283784e-01,-1.424016863498e-01,-3.985388215003e-01,1.322281122527e+00,-4.908359670989e-01
11.869783,1.308739166022e+00,1.190857265682e+00,9.099271242122e-01,-1.178819003397e-01,-3.634549710184e-01,1.301137354671e+00,-4.648071721695e-01
11.936561,1.285275557023e+00,1.154499554713e+00,8.982506112441e-01,-1.307760023099e-01,-3.582793091260e-01,1.278577720564e+00,-4.515504673370e-01
12.003339,1.260098064555e+00,1.080610301177e+00,8.575604800712e-01,-1.794877633785e-01,-3.848531186810e-01,1.254712410310e+00,-4.476835596702e-01
12.070117,1.233656420425e+00,9.778206362188e-01,7.926199061823e-01,-2.558357842066e-01,-4.423939426821e-01,1.229707961298e+00,-4.464691099490e-01
12.136895,1.206438627106e+00,8.634667817320e-01,7.157154639545e-01,-3.429718453743e-01,-5.221453239650e-01,1.203750225478e+00,-4.389335462605e-01
12.203673,1.178869473342e+00,7.664096067200e-01,6.501225318419e-01,-4.124598666216e-01,-5.951503291249e-01,1.177004557711e+00,-4.158363628666e-01
12.270451,1.151222956832e+00,7.249466856313e-01,6.297187537207e-01,-4.262762712012e-01,-6.033067999848e-01,1.149581426359e+00,-3.700705756954e-01
12.337229,1.123567230364e+00,7.658745677372e-01,6.816455188793e-01,-3.576926626267e-01,-4.997541742667e-01,1.121514363024e+00,-2.987612131338e-01
12.404007,1.095754105535e+00,8.786927963194e-01,8.019069167806e-01,-2.170613092157e-01,-3.122055488067e-01,1.092754496597e+00,-2.043225479692e-01
12.470785,1.067454993772e+00,1.027556003921e+00,9.626223212374e-01,-3.989898985070e-02,-1.033714387260e-01,1.063182421833e+00,-9.409503070547e-02
12.537563,1.038234243675e+00,1.177268088536e+00,1.133913753768e+00,1.390338448612e-01,8.815371997059e-02,1.032634573764e+00,2.125933838089e-02
12.604341,1.007642557431e+00,1.301298221403e+00,1.291428405646e+00,2.936556639727e-01,2.481353959388e-01,1.000938366699e+00,1.300099334581e-01
12.671119,9.753098550014e-01,1.380682788771e+00,1.415635022748e+00,4.053729337696e-01,3.725782682215e-01,9.679486998998e-01,2.216497750245e-01
12.737896,9.410188256709e-01,1.402619081251e+00,1.490532434621e+00,4.616002555801e-01,4.599255283690e-01,9.335783323357e-01,2.889243918412e-01
12.804674,9.047459255702e-01,1.360038108459e+00,1.503226563415e+00,4.552921828885e-01,5.077149601306e-01,8.978160499133e-01,3.295994030175e-01
12.871452,8.666636452543e-01,1.251698704773e+00,1.444272771366e+00,3.850350595190e-01,5.107102523607e-01,8.607291500649e-01,3.479371051432e-01
12.938230,8.271048867618e-01,1.082590752613e+00,1.308891737844e+00,2.554858658512e-01,4.590045414995e-01,8.224500000069e-01,3.554408527615e-01
13.005008,7.864965106837e-01,8.654031543220e-01,1.100326756148e+00,7.890664363825e-02,3.357741797417e-01,7.831496430690e-01,3.700097314066e-01
13.071786,7.452743156188e-01,6.272393991363e-01,8.416221866113e-01,-1.180349164825e-01,1.215788445627e-01,7.430040113749e-01,4.128008247966e-01
13.138564,7.037955751731e-01,4.403732629357e-01,6.257118948601e-01,-2.634223122374e-01,-1.175979045081e-01,7.021597551569e-01,5.030896845303e-01
13.205342,6.622669313570e-01,4.619344837314e-01,6.975049815411e-01,-2.003324476255e-01,5.184096142611e-02,6.607067292417e-01,6.527909905569e-01
13.272120,6.207036777543e-01,6.901424837694e-01,1.111871104528e+00,6.943880601516e-02,5.829457563240e-01,6.186629582047e-01,8.630319108555e-01
13.338898,5.789304415187e-01,9.806980806348e-01,1.693982575976e+00,4.017676391161e-01,1.073655254621e+00,5.759759100548e-01,1.124446751803e+00
13.405676,5.366237093576e-01,1.266169360415e+00,2.359510655858e+00,7.295456510574e-01,1.480912405876e+00,5.325397974069e-01,1.421181202483e+00
13.472454,4.933862123775e-01,1.515086584287e+00,3.070792304848e+00,1.021700371909e+00,1.828398627442e+00,4.882306384583e-01,1.736612422310e+00
13.539232,4.488354969876e-01,1.706209021076e+00,3.801412839509e+00,1.257373524089e+00,2.136471632294e+00,4.429595926909e-01,2.058370518853e+00
13.606010,4.026866419045e-01,1.823318359007e+00,4.527883891016e+00,1.420631717102e+00,2.419851281136e+00,3.967507137422e-01,2.380848866317e+00
