t,abs_zeta
0.500000,1.080055538072e+00
0.582638,9.952051801378e-01
0.665275,9.188470676641e-01
0.747913,8.549122114981e-01
0.830551,8.046515123785e-01
0.913189,7.665067088904e-01
0.995826,7.369261943134e-01
1.078464,7.117920986489e-01
1.161102,6.877787232917e-01
1.243740,6.631545600115e-01
1.326377,6.379332622689e-01
1.409015,6.135012535372e-01
1.491653,5.918923725791e-01
1.574290,5.749033885685e-01
1.656928,5.633243603940e-01
1.739566,5.565975484107e-01
1.822204,5.530603502172e-01
1.904841,5.506172135664e-01
1.987479,5.474890754562e-01
2.070117,5.427443596120e-01
2.152755,5.364889475440e-01
2.235392,5.297206293707e-01
2.318030,5.239141754814e-01
2.400668,5.204543003804e-01
2.483306,5.201017264642e-01
2.565943,5.227071219483e-01
2.648581,5.272986286324e-01
2.731219,5.324842145548e-01
2.813856,5.369690098257e-01
2.896494,5.399820198447e-01
2.979132,5.414906156347e-01
3.061770,5.421675507392e-01
3.144407,5.431339425992e-01
3.227045,5.455523756708e-01
3.309683,5.502001296298e-01
3.392321,5.571842154737e-01
3.474958,5.659174965950e-01
3.557596,5.753580906007e-01
3.640234,5.843973222649e-01
3.722871,5.922397120880e-01
3.805509,5.986524401910e-01
3.888147,6.040226269168e-01
3.970785,6.092152200304e-01
4.053422,6.152725290900e-01
4.136060,6.230463270366e-01
4.218698,6.328913679462e-01
4.301336,6.445408057191e-01
4.383973,6.572125741930e-01
4.466611,6.698962004455e-01
4.549249,6.817030092349e-01
4.631886,6.921576850529e-01
4.714524,7.013462378750e-01
4.797162,7.098834298397e-01
4.879800,7.187092007815e-01
4.962437,7.287709963153e-01
5.045075,7.406930949753e-01
5.127713,7.545526866635e-01
5.210351,7.698505065628e-01
5.292988,7.856860479228e-01
5.375626,8.010659766064e-01
5.458264,8.152330716015e-01
5.540902,8.279106300612e-01
5.623539,8.393931920774e-01
5.706177,8.504581858898e-01
5.788815,8.621190408858e-01
5.871452,8.752885868999e-01
5.954090,8.904614792855e-01
6.036728,9.075313677737e-01
6.119366,9.258145651439e-01
6.202003,9.442716622724e-01
6.284641,9.618448558541e-01
6.367279,9.777967944714e-01
6.449917,9.919484086412e-01
6.532554,1.004748691077e+00
6.615192,1.017152726590e+00
6.697830,1.030332461924e+00
6.780467,1.045297162335e+00
6.863105,1.062543569622e+00
6.945743,1.081861909353e+00
7.028381,1.102374614114e+00
7.111018,1.122797046179e+00
7.193656,1.141829927894e+00
7.276294,1.158558295744e+00
7.358932,1.172742751491e+00
7.441569,1.184924089251e+00
7.524207,1.196305306327e+00
7.606845,1.208424507639e+00
7.689482,1.222692086072e+00
7.772120,1.239924988606e+00
7.854758,1.260036912797e+00
7.937396,1.282003141935e+00
8.020033,1.304118956518e+00
8.102671,1.324464368819e+00
8.185309,1.341430641398e+00
8.267947,1.354167581038e+00
8.350584,1.362847989623e+00
8.433222,1.368687876005e+00
8.515860,1.373701017623e+00
8.598497,1.380215987309e+00
8.681135,1.390253057210e+00
8.763773,1.404931579754e+00
8.846411,1.424106857095e+00
8.929048,1.446373516614e+00
9.011686,1.469434316159e+00
9.094324,1.490697632895e+00
9.176962,1.507908830000e+00
