t,abs_zeta,neglog,mollifier_score
0.500000,1.078589014877e+00,-7.565372018343e-02,1.294477086370e-01
0.561952,1.014505363716e+00,-1.440116830897e-02,1.459390654944e-01
0.623905,9.547379546679e-01,4.631836812451e-02,1.634490568241e-01
0.685857,9.012557339527e-01,1.039662270715e-01,1.818907473638e-01
0.747810,8.552349626681e-01,1.563790364914e-01,2.011597871433e-01
0.809762,8.169184310578e-01,2.022160274688e-01,2.211365720207e-01
0.871715,7.856384068876e-01,2.412586332597e-01,2.416888318867e-01
0.933667,7.600240235381e-01,2.744052349670e-01,2.626745382637e-01
0.995620,7.383417210742e-01,3.033485235098e-01,2.839450187126e-01
1.057572,7.188683247556e-01,3.300770732820e-01,3.053481614696e-01
1.119524,7.002004794340e-01,3.563885843236e-01,3.267315949469e-01
1.181477,6.814467746284e-01,3.835371297533e-01,3.479457362125e-01
1.243429,6.622940179235e-01,4.120456842983e-01,3.688466190906e-01
1.305382,6.429648489953e-01,4.416652218759e-01,3.892984309676e-01
1.367334,6.240909654097e-01,4.714591417348e-01,4.091757017658e-01
1.429287,6.065261952698e-01,5.000073590002e-01,4.283650964716e-01
1.491239,5.911268859052e-01,5.257245859653e-01,4.467667680540e-01
1.553191,5.785367545216e-01,5.472531984607e-01,4.642952383364e-01
1.615144,5.690231063078e-01,5.638342352976e-01,4.808797952300e-01
1.677096,5.624081853760e-01,5.755273824465e-01,4.964644232091e-01
1.739049,5.581149585670e-01,5.831903170907e-01,5.110073123112e-01
1.801001,5.553089421367e-01,5.882306658098e-01,5.244800124439e-01
1.862954,5.530880655366e-01,5.922380378126e-01,5.368663120284e-01
1.924906,5.506665242094e-01,5.966258704530e-01,5.481609246142e-01
1.986859,5.475131728283e-01,6.023687557941e-01,5.583680668243e-01
2.048811,5.434259503380e-01,6.098618257913e-01,5.675000073523e-01
2.110763,5.385397676281e-01,6.188939343640e-01,5.755756592511e-01
2.172716,5.332738340528e-01,6.287202249216e-01,5.826192747305e-01
2.234668,5.282291533982e-01,6.382250848865e-01,5.886592823453e-01
2.296621,5.240523691566e-01,6.461636566081e-01,5.937272830939e-01
2.358573,5.212899532450e-01,6.514488579770e-01,5.978572000049e-01
2.420526,5.202639324000e-01,6.534190319431e-01,6.011093322579e-01
2.482478,5.210003948888e-01,6.520044773657e-01,6.034686838575e-01
2.544431,5.232299643500e-01,6.477342072568e-01,6.049795244108e-01
2.606383,5.264579452808e-01,6.415838247088e-01,6.056851921852e-01
2.668335,5.300811835590e-01,6.347251057535e-01,6.056277478332e-01
2.730288,5.335187611447e-01,6.282610408274e-01,6.048475538663e-01
2.792240,5.363264450890e-01,6.230122620909e-01,6.033828545080e-01
2.854193,5.382748831375e-01,6.193859122457e-01,6.012694667322e-01
2.916145,5.393821729747e-01,6.173309167005e-01,5.985406720918e-01
